Name,IsDataSource
AI.ExecuteInProc,TRUE
AI.ExecuteInternal,TRUE
AI.ExternalSort,TRUE
AI.GetAutoMLEntity,TRUE
AI.SampleStratifiedWithHoldout,TRUE
AI.TestConnection,FALSE
AIFunctions.Capacities,TRUE
AIFunctions.Contents,TRUE
AIFunctions.ExecuteInternal,TRUE
AIFunctions.GetAutoMLEntity,TRUE
AIFunctions.PostProcess,FALSE
AIInsights.Contents,TRUE
AIInsights.ContentsGenerator,FALSE
AML.Execute,TRUE
AML.ExecuteBatch,TRUE
Access.Database,FALSE
AccessControlEntry.ConditionToIdentities,FALSE
Acterys.Contents,TRUE
ActiveDirectory.Domains,TRUE
AdoDotNet.DataSource,TRUE
AdoDotNet.Query,TRUE
AdobeAnalytics.Cubes,TRUE
AmazonRedshift.Database,TRUE
AnalysisServices.Database,TRUE
AnalysisServices.Databases,TRUE
ApacheHiveLLAP.Database,TRUE
ApacheSpark.Tables,TRUE
Asana.Tables,TRUE
AtScale.Cubes,TRUE
AutomationAnywhere.Feed,TRUE
AzureCostManagement.Contents,TRUE
AzureCostManagement.Tables,TRUE
AzureDataExplorer.Contents,TRUE
AzureDataExplorer.Databases,TRUE
AzureDevOpsServer.AccountContents,TRUE
AzureDevOpsServer.AnalyticsViews,TRUE
AzureDevOpsServer.Feed,TRUE
AzureDevOpsServer.Views,TRUE
AzureEnterprise.Contents,TRUE
AzureEnterprise.Tables,TRUE
AzureHiveLLAP.Database,TRUE
AzureMLFunctions.Contents,TRUE
AzureMLFunctions.Execute,TRUE
AzureMLFunctions.ExecuteBatch,TRUE
AzureSpark.Tables,TRUE
AzureStorage.BlobContents,TRUE
AzureStorage.Blobs,TRUE
AzureStorage.DataLake,TRUE
AzureStorage.DataLakeContents,TRUE
AzureStorage.Tables,TRUE
BI360.Contents,TRUE
BIConnector.Contents,TRUE
BIConnector.ContentsX,FALSE
Binary.Buffer,FALSE
Binary.Combine,FALSE
Binary.Compress,FALSE
Binary.Decompress,FALSE
Binary.From,FALSE
Binary.FromList,FALSE
Binary.FromText,FALSE
Binary.InferContentType,FALSE
Binary.Length,FALSE
Binary.ToList,FALSE
Binary.ToText,FALSE
BinaryFormat.7BitEncodedSignedInteger,FALSE
BinaryFormat.7BitEncodedUnsignedInteger,FALSE
BinaryFormat.Binary,FALSE
BinaryFormat.Byte,FALSE
BinaryFormat.ByteOrder,FALSE
BinaryFormat.Choice,FALSE
BinaryFormat.Decimal,FALSE
BinaryFormat.Double,FALSE
BinaryFormat.Group,FALSE
BinaryFormat.Length,FALSE
BinaryFormat.List,FALSE
BinaryFormat.Null,FALSE
BinaryFormat.Record,FALSE
BinaryFormat.SignedInteger16,FALSE
