"CultureName","Name","FormatString"
"Invariant Language (Invariant Country)","FullDateTimePattern","dddd, dd MMMM yyyy HH:mm:ss"
"Invariant Language (Invariant Country)","LongDatePattern","dddd, dd MMMM yyyy"
"Invariant Language (Invariant Country)","LongTimePattern","HH:mm:ss"
"Invariant Language (Invariant Country)","MonthDayPattern","MMMM dd"
"Invariant Language (Invariant Country)","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"Invariant Language (Invariant Country)","ShortDatePattern","MM/dd/yyyy"
"Invariant Language (Invariant Country)","ShortTimePattern","HH:mm"
"Invariant Language (Invariant Country)","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"Invariant Language (Invariant Country)","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"Invariant Language (Invariant Country)","YearMonthPattern","yyyy MMMM"
"aa","FullDateTimePattern","yyyy MMMM d, dddd h:mm:ss tt"
"aa","LongDatePattern","yyyy MMMM d, dddd"
"aa","LongTimePattern","h:mm:ss tt"
"aa","MonthDayPattern","MMMM d"
"aa","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"aa","ShortDatePattern","yyyy-MM-dd"
"aa","ShortTimePattern","h:mm tt"
"aa","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"aa","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"aa","YearMonthPattern","yyyy MMMM"
"aa-DJ","FullDateTimePattern","yyyy MMMM d, dddd h:mm:ss tt"
"aa-DJ","LongDatePattern","yyyy MMMM d, dddd"
"aa-DJ","LongTimePattern","h:mm:ss tt"
"aa-DJ","MonthDayPattern","MMMM d"
"aa-DJ","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"aa-DJ","ShortDatePattern","yyyy-MM-dd"
"aa-DJ","ShortTimePattern","h:mm tt"
"aa-DJ","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"aa-DJ","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"aa-DJ","YearMonthPattern","yyyy MMMM"
"aa-ER","FullDateTimePattern","yyyy MMMM d, dddd h:mm:ss tt"
"aa-ER","LongDatePattern","yyyy MMMM d, dddd"
"aa-ER","LongTimePattern","h:mm:ss tt"
"aa-ER","MonthDayPattern","MMMM d"
"aa-ER","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"aa-ER","ShortDatePattern","yyyy-MM-dd"
"aa-ER","ShortTimePattern","h:mm tt"
"aa-ER","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"aa-ER","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"aa-ER","YearMonthPattern","yyyy MMMM"
"aa-ET","FullDateTimePattern","yyyy MMMM d, dddd h:mm:ss tt"
"aa-ET","LongDatePattern","yyyy MMMM d, dddd"
"aa-ET","LongTimePattern","h:mm:ss tt"
"aa-ET","MonthDayPattern","MMMM d"
"aa-ET","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"aa-ET","ShortDatePattern","yyyy-MM-dd"
"aa-ET","ShortTimePattern","h:mm tt"
"aa-ET","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"aa-ET","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"aa-ET","YearMonthPattern","yyyy MMMM"
"af","FullDateTimePattern","dddd dd MMMM yyyy HH:mm:ss"
"af","LongDatePattern","dddd dd MMMM yyyy"
"af","LongTimePattern","HH:mm:ss"
"af","MonthDayPattern","d MMMM"
"af","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"af","ShortDatePattern","yyyy-MM-dd"
"af","ShortTimePattern","HH:mm"
"af","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"af","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"af","YearMonthPattern","MMMM yyyy"
"af-NA","FullDateTimePattern","dddd dd MMMM yyyy h:mm:ss tt"
"af-NA","LongDatePattern","dddd dd MMMM yyyy"
"af-NA","LongTimePattern","h:mm:ss tt"
"af-NA","MonthDayPattern","d MMMM"
"af-NA","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"af-NA","ShortDatePattern","yyyy-MM-dd"
"af-NA","ShortTimePattern","h:mm tt"
"af-NA","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"af-NA","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"af-NA","YearMonthPattern","MMMM yyyy"
"af-ZA","FullDateTimePattern","dddd dd MMMM yyyy HH:mm:ss"
"af-ZA","LongDatePattern","dddd dd MMMM yyyy"
"af-ZA","LongTimePattern","HH:mm:ss"
"af-ZA","MonthDayPattern","d MMMM"
"af-ZA","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"af-ZA","ShortDatePattern","yyyy-MM-dd"
"af-ZA","ShortTimePattern","HH:mm"
"af-ZA","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"af-ZA","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"af-ZA","YearMonthPattern","MMMM yyyy"
"agq","FullDateTimePattern","dddd d MMMM yyyy HH:mm:ss"
"agq","LongDatePattern","dddd d MMMM yyyy"
"agq","LongTimePattern","HH:mm:ss"
"agq","MonthDayPattern","MMMM d"
"agq","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"agq","ShortDatePattern","d/M/yyyy"
"agq","ShortTimePattern","HH:mm"
"agq","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"agq","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"agq","YearMonthPattern","yyyy MMMM"
"agq-CM","FullDateTimePattern","dddd d MMMM yyyy HH:mm:ss"
"agq-CM","LongDatePattern","dddd d MMMM yyyy"
"agq-CM","LongTimePattern","HH:mm:ss"
"agq-CM","MonthDayPattern","MMMM d"
"agq-CM","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"agq-CM","ShortDatePattern","d/M/yyyy"
"agq-CM","ShortTimePattern","HH:mm"
"agq-CM","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"agq-CM","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"agq-CM","YearMonthPattern","yyyy MMMM"
"ak","FullDateTimePattern","dddd, yyyy MMMM dd h:mm:ss tt"
"ak","LongDatePattern","dddd, yyyy MMMM dd"
"ak","LongTimePattern","h:mm:ss tt"
"ak","MonthDayPattern","MMMM d"
"ak","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ak","ShortDatePattern","yyyy/MM/dd"
"ak","ShortTimePattern","h:mm tt"
"ak","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ak","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ak","YearMonthPattern","MMMM yyyy"
"ak-GH","FullDateTimePattern","dddd, yyyy MMMM dd h:mm:ss tt"
"ak-GH","LongDatePattern","dddd, yyyy MMMM dd"
"ak-GH","LongTimePattern","h:mm:ss tt"
"ak-GH","MonthDayPattern","MMMM d"
"ak-GH","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ak-GH","ShortDatePattern","yyyy/MM/dd"
"ak-GH","ShortTimePattern","h:mm tt"
"ak-GH","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ak-GH","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ak-GH","YearMonthPattern","MMMM yyyy"
"am","FullDateTimePattern","yyyy MMMM d, dddd h:mm:ss tt"
"am","LongDatePattern","yyyy MMMM d, dddd"
"am","LongTimePattern","h:mm:ss tt"
"am","MonthDayPattern","MMMM d"
"am","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"am","ShortDatePattern","dd/MM/yyyy"
"am","ShortTimePattern","h:mm tt"
"am","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
